,zipcode,train,train_pred,test_pred
4038,70735,93410.0,95344.52406933035,98018.70830798786
4039,70736,80106.0,80613.05679279844,85071.74054506265
4040,70738,54946.0,56215.12302259045,61132.98300422571
4041,70740,130457.0,130228.72302454834,132635.72183770995
4042,70741,64722.0,64963.62824054712,66062.81397385726
4043,70742,39687.0,39756.35546654179,39249.24322483953
4044,70744,70570.0,71017.73601460055,72595.64145347255
4045,70745,98877.0,97312.27645008551,97577.14487622152
4046,70746,122484.0,118313.08035037643,115322.92565626143
4047,70747,215004.0,216019.68371622436,221208.80533622223
4048,70751,223944.0,226944.2125551124,230791.0527741951
4049,70755,198240.0,201669.2892404131,203426.4696931903
4050,70756,280246.0,281723.817225504,285161.2078663898
4051,70757,307458.0,308763.1944261812,313308.51718876546
4052,70758,312219.0,315161.8696656343,321499.93284019065
4053,70759,65674.0,65127.27685380826,66575.86099390796
4054,70763,404056.0,410056.0422388897,415350.55213354365
4055,70764,92172.0,92367.12586400054,94176.66563752812
4056,70765,51612.0,52080.75818294307,53567.83341737729
4057,70766,353325.0,357828.3155271912,359837.335152554
4058,70768,78872.0,80389.84471336266,83128.67092417844
4059,70770,83603.0,83084.50814944936,84444.91112075472
4060,70772,459952.0,464387.34220251045,469779.02482154465
4061,70773,149524.0,150005.23980336025,153653.92252372118
4062,70774,574747.0,579707.115434826,586635.6359449899
4063,70775,80894.0,79234.28241548885,81808.23370479289
4064,70776,145294.0,146114.3603349971,154823.9286090357
4065,70777,76140.0,75325.30933824324,77970.4936641392
4066,70779,99063.0,101277.13164434413,106047.39908314591
4067,70780,187305.0,190646.43979857402,196843.5116455722
4068,70781,141381.0,142572.96689606603,146225.5067407218
4069,70784,226946.0,233521.96249084856,241843.49834095594
4070,70785,1748966.0,1756636.2793082076,1786296.110808495
4071,70786,103805.0,104753.15259258964,111239.62349451048
4072,70787,81372.0,81011.63516935338,82395.05107690876
4073,70788,83799.0,83474.02601922241,86029.14370229452
4074,70789,420405.0,430071.4201846483,444220.0052600293
4075,70791,479313.0,482413.84601089545,490232.2058670021
4076,70792,465862.0,467247.6683692994,471578.7206364139
4077,70795,196511.0,196648.7697921725,203402.8998891347
4078,70796,418247.0,421928.4890421241,432377.48244397
4079,70798,202724.0,206834.26989032084,215075.52778383493
4080,70799,149871.0,154048.6964644863,162266.9923147522
4081,70800,193836.0,198138.54427734023,207141.36522313653
4082,70801,170823.0,172534.22565502845,182270.73932945682
4083,70803,164951.0,166534.23701897942,176434.46707010834
4084,70804,273857.0,276620.21898581425,284562.994346967
4085,70806,280364.0,282585.3859976434,289966.4882219915
4086,70807,196147.0,199365.2520579933,206160.49220925005
4087,70808,441994.0,446328.05972567014,452125.27335981565
4088,70810,376408.0,379728.71575069067,386632.8256261386
4089,70811,218071.0,219719.42355972633,230031.01404451407
4090,70813,305699.0,307166.95774487924,313197.2143317618
4091,70815,550486.0,557475.2802896699,569452.4725424038
4092,70817,206550.0,219912.89737977667,244179.17256186102
4093,70818,387478.0,397589.4634717771,411331.4200884009
4094,70819,166132.0,167259.14414428253,177296.19518969598
4095,70820,160959.0,161240.04132658363,172112.63718331957
4096,70823,159003.0,160950.282177342,167622.0844322793
4097,70824,211087.0,212791.37021938455,220502.27142994112
4098,70825,337436.0,338764.83918985917,344334.33791660506
4099,70826,381752.0,384034.2318138875,389293.7824279014
4100,70828,253167.0,255442.45818623994,262828.40359087946
4101,70829,217763.0,219757.05228182964,227446.7855319225
4102,70830,243813.0,245910.63571422384,254514.5476615977
4103,70831,204644.0,206326.80046407602,214484.0284726131
4104,70832,243336.0,245119.87248852622,253178.08531697068
4105,70835,234488.0,236251.77617804206,244532.95964978132
4106,70836,202722.0,205870.45739321975,217217.97353620722
4107,70837,232188.0,233969.1000265243,246755.15474372866
4108,70838,203619.0,205061.13756659848,216085.519076188
4109,70839,153118.0,155041.19768335397,162624.3338792157
4110,70840,191968.0,191911.8065674232,200639.1049629828
4111,70842,357648.0,358357.1173857979,362769.9787234105
4112,70844,319432.0,320019.89910181594,326583.7185510005
4113,70846,279865.0,280360.64618767035,285093.6742413852
4114,70847,375377.0,376288.7927465332,381940.34740453586
4115,70848,454921.0,455567.94921991136,458481.9942137428
4116,70851,210071.0,214035.27647804428,222820.35593664824
4117,70852,199573.0,198124.67661923374,203049.08831345517
4118,70854,457399.0,460622.0544501476,467710.7790617226
4119,70855,386901.0,390107.068946422,397541.652129913
4120,70857,228009.0,229879.25037123624,237314.05804228107
4121,70858,201414.0,204054.21278023478,211451.55572199516
4122,70859,341804.0,343982.9971007657,351652.2774871648
4123,70861,308490.0,310550.892488755,318195.881803591
4124,70862,163031.0,165930.67682612984,175755.09303959945
4125,70863,263591.0,266852.5673732218,274616.71760297165
4126,70866,221472.0,225754.08447351403,234033.3651463058
4127,70867,150963.0,152837.79497181985,162083.18937079574
4128,70870,393351.0,398047.3855459874,406816.0143863902
4129,70871,189820.0,191523.74271682507,199350.3355774531
4130,70872,197414.0,201720.56010932953,211422.670040268
4131,70874,254363.0,256768.458826362,265427.3243823291
4132,70875,466940.0,470985.6232258829,476951.39460726094
4133,70878,274323.0,274634.16901429533,280911.04963889805
4134,70879,232225.0,233895.7544322474,243002.26376631498
4135,70880,169817.0,171562.5524923139,179028.81119420676
4136,70881,109779.0,109787.294514242,114753.88694891728
4137,70882,161720.0,161523.47245872888,168718.11572518962
4138,70883,182622.0,183742.6387058811,190296.82414622835
4139,70884,276207.0,277459.3512277265,287051.1478482519
4140,70885,143947.0,144380.83770581186,150287.06669248085
4141,70887,146222.0,146425.98038112573,152502.93250207393
4142,70888,161215.0,168812.85168820628,181682.43996725744
4143,70890,130360.0,130416.81281080519,135332.6127307846
4144,70891,292163.0,293444.6511648922,302720.6331558275
